scene	sigma	num_col
0	0.01	99
0	0.03	61
0	0.05	33
0	0.07	18
0	0.09	17
0	0.11	17
0	0.13	7
1	0.01	0
1	0.03	0
1	0.05	0
1	0.07	0
1	0.09	0
1	0.11	0
1	0.13	0
2	0.01	100
2	0.03	81
2	0.05	51
2	0.07	24
2	0.09	32
2	0.11	14
2	0.13	15
3	0.01	100
3	0.03	88
3	0.05	54
3	0.07	38
3	0.09	37
3	0.11	34
3	0.13	32
4	0.01	100
4	0.03	75
4	0.05	58
4	0.07	31
4	0.09	36
4	0.11	31
4	0.13	24
6	0.01	88
6	0.03	38
6	0.05	16
6	0.07	17
6	0.09	2
6	0.11	4
6	0.13	0
7	0.01	0
7	0.03	0
7	0.05	0
7	0.07	0
7	0.09	0
7	0.11	0
7	0.13	0
8	0.01	0
8	0.03	0
8	0.05	0
8	0.07	0
8	0.09	0
8	0.11	0
8	0.13	0
9	0.01	0
9	0.03	0
9	0.05	0
9	0.07	0
9	0.09	0
9	0.11	0
9	0.13	0
10	0.01	0
10	0.03	0
10	0.05	0
10	0.07	0
10	0.09	0
10	0.11	0
10	0.13	0
11	0.01	0
11	0.03	0
11	0.05	0
11	0.07	0
11	0.09	0
11	0.11	0
11	0.13	0
12	0.01	100
12	0.03	88
12	0.05	60
12	0.07	31
12	0.09	32
12	0.11	20
12	0.13	21
13	0.01	0
13	0.03	0
13	0.05	0
13	0.07	0
13	0.09	0
13	0.11	0
13	0.13	0
15	0.01	100
15	0.03	63
15	0.05	33
15	0.07	19
15	0.09	11
15	0.11	7
15	0.13	9
16	0.01	54
16	0.03	13
16	0.05	4
16	0.07	1
16	0.09	1
16	0.11	2
16	0.13	1
17	0.01	99
17	0.03	72
17	0.05	40
17	0.07	34
17	0.09	22
17	0.11	17
17	0.13	24
18	0.01	100
18	0.03	93
18	0.05	68
18	0.07	55
18	0.09	36
18	0.11	37
18	0.13	20
20	0.01	100
20	0.03	78
20	0.05	50
20	0.07	36
20	0.09	23
20	0.11	14
20	0.13	25
21	0.01	0
21	0.03	0
21	0.05	0
21	0.07	0
21	0.09	0
21	0.11	0
21	0.13	0
22	0.01	100
22	0.03	95
22	0.05	70
22	0.07	48
22	0.09	50
22	0.11	42
22	0.13	34
23	0.01	83
23	0.03	35
23	0.05	17
23	0.07	9
23	0.09	8
23	0.11	12
23	0.13	18
24	0.01	100
24	0.03	97
24	0.05	73
24	0.07	61
24	0.09	39
24	0.11	46
24	0.13	37
25	0.01	46
25	0.03	20
25	0.05	13
25	0.07	21
25	0.09	14
25	0.11	17
25	0.13	26
26	0.01	0
26	0.03	0
26	0.05	0
26	0.07	0
26	0.09	0
26	0.11	0
26	0.13	0
27	0.01	100
27	0.03	83
27	0.05	49
27	0.07	40
27	0.09	29
27	0.11	30
27	0.13	21
28	0.01	86
28	0.03	39
28	0.05	12
28	0.07	1
28	0.09	5
28	0.11	8
28	0.13	10
30	0.01	100
30	0.03	92
30	0.05	64
30	0.07	42
30	0.09	37
30	0.11	35
30	0.13	25
32	0.01	100
32	0.03	85
32	0.05	61
32	0.07	48
32	0.09	35
32	0.11	35
32	0.13	37
33	0.01	0
33	0.03	0
33	0.05	0
33	0.07	0
33	0.09	0
33	0.11	0
33	0.13	0
34	0.01	100
34	0.03	96
34	0.05	80
34	0.07	49
34	0.09	53
34	0.11	39
34	0.13	43
35	0.01	99
35	0.03	72
35	0.05	43
35	0.07	35
35	0.09	15
35	0.11	18
35	0.13	16
36	0.01	100
36	0.03	95
36	0.05	68
36	0.07	63
36	0.09	42
36	0.11	35
36	0.13	30
37	0.01	92
37	0.03	36
37	0.05	19
37	0.07	11
37	0.09	7
37	0.11	7
37	0.13	11
38	0.01	0
38	0.03	0
38	0.05	0
38	0.07	0
38	0.09	0
38	0.11	0
38	0.13	0
39	0.01	100
39	0.03	80
39	0.05	48
39	0.07	30
39	0.09	30
39	0.11	20
39	0.13	19
40	0.01	100
40	0.03	85
40	0.05	66
40	0.07	42
40	0.09	43
40	0.11	30
40	0.13	28
42	0.01	0
42	0.03	0
42	0.05	0
42	0.07	0
42	0.09	0
42	0.11	0
42	0.13	0
43	0.01	0
43	0.03	0
43	0.05	0
43	0.07	0
43	0.09	0
43	0.11	0
43	0.13	0
44	0.01	0
44	0.03	0
44	0.05	0
44	0.07	0
44	0.09	0
44	0.11	0
44	0.13	0
45	0.01	0
45	0.03	0
45	0.05	0
45	0.07	0
45	0.09	0
45	0.11	0
45	0.13	0
46	0.01	69
46	0.03	25
46	0.05	11
46	0.07	12
46	0.09	9
46	0.11	7
46	0.13	5
47	0.01	0
47	0.03	0
47	0.05	0
47	0.07	0
47	0.09	0
47	0.11	0
47	0.13	0
48	0.01	0
48	0.03	0
48	0.05	0
48	0.07	0
48	0.09	0
48	0.11	0
48	0.13	0
49	0.01	100
49	0.03	93
49	0.05	70
49	0.07	50
49	0.09	33
49	0.11	33
49	0.13	23
50	0.01	0
50	0.03	0
50	0.05	0
50	0.07	0
50	0.09	0
50	0.11	0
50	0.13	0
51	0.01	0
51	0.03	0
51	0.05	0
51	0.07	0
51	0.09	0
51	0.11	0
51	0.13	0
52	0.01	100
52	0.03	63
52	0.05	47
52	0.07	32
52	0.09	26
52	0.11	21
52	0.13	15
54	0.01	43
54	0.03	23
54	0.05	26
54	0.07	19
54	0.09	20
54	0.11	25
54	0.13	28
55	0.01	74
55	0.03	33
55	0.05	23
55	0.07	28
55	0.09	16
55	0.11	23
55	0.13	19
56	0.01	100
56	0.03	49
56	0.05	33
56	0.07	26
56	0.09	22
56	0.11	27
56	0.13	24
57	0.01	0
57	0.03	0
57	0.05	0
57	0.07	0
57	0.09	0
57	0.11	0
57	0.13	0
58	0.01	0
58	0.03	0
58	0.05	0
58	0.07	0
58	0.09	0
58	0.11	0
58	0.13	0
59	0.01	0
59	0.03	0
59	0.05	0
59	0.07	0
59	0.09	0
59	0.11	0
59	0.13	0
63	0.01	100
63	0.03	83
63	0.05	49
63	0.07	35
63	0.09	21
63	0.11	20
63	0.13	15
66	0.01	90
66	0.03	48
66	0.05	18
66	0.07	7
66	0.09	5
66	0.11	2
66	0.13	11
67	0.01	100
67	0.03	50
