scene_id	sigma	r	ade	fde	abd	fbd
0	0.5	0.1	0.9136826544832753	1.4240955607629766	2.499354052576607	2.319471879381408
0	0.5	0.1	0.6830304097429024	1.8732515886148586	2.32592262112254	2.413524252178299
0	0.5	0.1	0.294383674710664	0.16422468649317015	1.8659987262981983	1.8170105585780192
1	0.5	0.1	1.2600620024508338	2.060357985262942	2.438218278448349	2.3630122178550876
1	0.5	0.1	0.7286275106135776	1.844560722662396	2.2144699634708407	2.173554166748672
1	0.5	0.1	0.5499317989308796	1.2241756858604744	2.591995906444556	2.5755522216294175
2	0.5	0.1	1.3945166374786497	2.0910910003853065	2.5113900928568906	2.31859207728887
2	0.5	0.1	0.7499629629826372	1.5062857145186141	2.19985351426693	2.1267295967294824
2	0.5	0.1	0.820054199407485	1.238239062193252	2.0156123209113637	1.8281449198433333
3	0.5	0.1	1.2532545803864303	2.001951897308456	2.903930644450536	2.7886972870207187
3	0.5	0.1	0.9557505996555098	1.9340455872231057	2.4105971370020813	2.3019236887560632
3	0.5	0.1	0.8523400954588135	1.1699537014757808	2.0560399681736206	1.7855596843659605
4	0.5	0.1	0.504390110228713	0.4269768123467263	2.4627164264780013	2.4315297492423653
4	0.5	0.1	0.8398896339212558	1.3542740014546706	2.039325251094736	1.8568828917491675
4	0.5	0.1	0.6400812589381353	0.9042397252293317	2.6738108717294296	2.3851109083607493
5	0.5	0.1	0.40102395118758594	0.6221877595389114	2.7892467645401715	2.7942542816741223
5	0.5	0.1	0.7731625479471608	0.9177946965960182	2.282618593759138	2.0189903559791413
5	0.5	0.1	0.7574861440073524	1.1363895566931228	2.9449214694033	2.60677794746314
6	0.5	0.1	0.8645165382720726	1.2709184496244266	2.2294300885534533	2.307274151157115
6	0.5	0.1	0.5666826504120551	0.6228606884674318	2.273242869037278	2.019183728491126
6	0.5	0.1	0.7083212754605616	1.289112821229126	2.8320834140040363	2.511718296705346
7	0.5	0.1	0.20777436717565756	0.18912690502051913	2.3808368538436366	2.372757861016138
7	0.5	0.1	0.8516481401838659	1.244958908638794	2.538926342244554	2.3500329014434524
7	0.5	0.1	0.9365541852765542	1.907570944025907	2.1459032507702616	2.1690391060569545
8	0.5	0.1	0.5103735174661521	0.8333766514585503	2.1879470282095053	2.099423433427196
8	0.5	0.1	1.661455417775022	2.857110145695797	2.771102900550856	2.5389018990077474
8	0.5	0.1	1.0554846269317502	2.0732382303974157	2.00888090550054	1.9225325030885874
9	0.5	0.1	0.5559283112889203	1.0351251532366545	2.363375199194456	2.2101160830225974
9	0.5	0.1	0.4900824519933001	1.1216956365263324	1.9889556839569655	1.8725110056483358
9	0.5	0.1	0.8254946099849757	1.2812349853318283	1.9894459095559318	1.747669977631773
10	0.5	0.1	1.0730818335483576	1.8916202557191448	2.7743205970628004	2.769029090596522
10	0.5	0.1	1.0236335692255345	2.091185195887838	2.0746459257627174	1.8434993103169108
10	0.5	0.1	0.5276245214226444	0.7104666003042501	2.423821248516332	2.1485433193180907
11	0.5	0.1	0.761658784244103	1.4608414024016867	2.206085376238046	2.005634670313355
11	0.5	0.1	0.24093537535580167	0.4870281859322577	1.991201210796278	1.7833148836576054
11	0.5	0.1	0.2650061592714317	0.6168276580374719	2.8594645341525657	2.5500785625184283
12	0.5	0.1	1.3701614334674221	2.541792593818848	3.1172575996819116	3.022644927129573
12	0.5	0.1	1.138586729841114	1.8155123644929132	2.202812036925732	1.969526403050984
12	0.5	0.1	0.9061401742228945	1.3297988876641225	2.9785977292328623	2.6559755277414543
13	0.5	0.1	1.3148241344747487	2.4726960075277447	3.2284065243454965	3.0603984838086316
13	0.5	0.1	1.006830476731491	2.2280764211536286	2.2472152883931757	2.0008234986293587
13	0.5	0.1	0.3654282355950674	0.6085624131687033	2.8037650249145094	2.5590400537414837
14	0.5	0.1	0.9928492063145787	1.7992205126917395	2.3971132465508074	2.1790120042743286
14	0.5	0.1	0.7159538710771546	1.5474802532971954	2.8176057879428127	2.599964021251875
14	0.5	0.1	1.910875922432236	3.4806157224748273	2.7775793185210893	2.395079751578285
15	0.5	0.1	0.8197279562259486	2.247393000867069	2.3763813662997664	2.263446747295443
15	0.5	0.1	0.74243853758735	1.2687417171720479	2.04676071481416	1.8539983004637093
15	0.5	0.1	1.859678998189219	3.525918123025654	3.424476468630082	2.989655592805709
16	0.5	0.1	0.8301955892682279	1.8898225147416732	2.904215179671921	2.697546822871228
16	0.5	0.1	0.779181001751123	1.1461280847797142	1.7863355655561295	1.6604703844383568
16	0.5	0.1	0.6620081519797725	0.653179017189416	2.4373903394079517	2.453524831256725
17	0.5	0.1	1.7207706836347727	3.4966463652859	3.269009824385043	3.0261539563682356
17	0.5	0.1	0.9962509991784151	1.6114092556522126	2.214043043097481	2.030606450833822
17	0.5	0.1	0.7665695359358148	0.34835915815023755	2.235577641287882	2.28249379668992
18	0.5	0.1	1.0682315455357831	1.748325316391392	3.3621238987420337	3.1574251778626805
18	0.5	0.1	1.2187249552631885	1.5637015216269061	2.0413017006526664	1.9118543331454707
18	0.5	0.1	0.5639836368445525	1.3390601134737834	2.1847280869115644	2.1636983528892806
19	0.5	0.1	0.9144858114690025	1.6476327963103494	3.3536480064859413	3.1034388338357153
19	0.5	0.1	0.12936921565588552	0.4585465185704504	2.0208562740752423	1.8052487060829616
19	0.5	0.1	1.0322415388818345	2.608586626686746	2.2643821078514117	2.270071130201326
20	0.5	0.1	0.8436603881296695	1.3302055719872126	2.9611256266519157	2.7622833012768786
20	0.5	0.1	0.45202996594681805	0.8804014424396167	2.0339014999012948	1.8380410541156553
20	0.5	0.1	1.3764693084500417	3.361014652504721	2.139705896762994	2.134624156042937
21	0.5	0.1	1.5999552672244723	3.229684803357402	3.0378696817669733	2.7869865903195126
21	0.5	0.1	0.9211833094613108	1.3651354566092184	2.384205945706099	2.1596803299471197
21	0.5	0.1	1.9276409982075269	4.351426213814478	2.6393240911684264	2.5886481535262744
22	0.5	0.1	1.2656984912289218	2.443255381505462	3.146892817579451	2.8639419256929863
22	0.5	0.1	1.1441209577049676	2.265988684104408	2.26007916514868	2.0626495942189624
22	0.5	0.1	2.483337049148437	5.331490464636101	2.3772218101246074	2.3502667346509876
23	0.5	0.1	1.6306415608413813	3.5178309046690153	3.4884890372006905	3.1284934360961887
23	0.5	0.1	0.8719985972684113	1.7717115937651342	2.9486508612536375	2.7471709806774753
23	0.5	0.1	0.749404092286543	1.2542871057750242	2.1700103303171945	2.17901380863501
24	0.5	0.1	0.7484470291832972	1.3261831160765332	3.0228563977418563	2.8824824236119557
24	0.5	0.1	1.5097103392271762	3.091454485621936	2.5475769710129024	2.2990414343794785
24	0.5	0.1	0.6709667646402452	1.1712907306719063	1.975670154270254	1.9359431118955632
25	0.5	0.1	0.9162183484587406	2.6564363387934815	2.885600817419911	2.7568585428468815
