scene_id	sigma	r	noise_before	noise_after
0	0.15	0.01	0.3533427	0.23542008
0	0.15	0.01	0.37369788	0.3636953
0	0.15	0.01	0.34193772	0.19628152
1	0.15	0.01	0.34890887	0.24930145
1	0.15	0.01	0.38711667	0.21090278
1	0.15	0.01	0.3460215	0.21305586
2	0.15	0.01	0.34437633	0.2543402
2	0.15	0.01	0.39535537	0.19898959
2	0.15	0.01	0.34195897	0.18690257
3	0.15	0.01	0.3615975	0.22238597
3	0.15	0.01	0.37034562	0.17851911
3	0.15	0.01	0.34579518	0.21473366
4	0.15	0.01	0.35907033	0.24213219
4	0.15	0.01	0.364768	0.21346812
4	0.15	0.01	0.35441586	0.22750069
5	0.15	0.01	0.34663436	0.22210135
5	0.15	0.01	0.38204646	0.29590118
5	0.15	0.01	0.36084002	0.22743438
6	0.15	0.01	0.35469535	0.20037386
6	0.15	0.01	0.3646011	0.3546104
6	0.15	0.01	0.35407275	0.20742847
7	0.15	0.01	0.34500262	0.22171068
7	0.15	0.01	0.38405186	0.507279
7	0.15	0.01	0.36342078	0.19826731
8	0.15	0.01	0.34470654	0.2016961
8	0.15	0.01	0.36563933	0.42866907
8	0.15	0.01	0.35830802	0.20020252
9	0.15	0.01	0.3673871	0.218097
9	0.15	0.01	0.41178086	0.31402123
9	0.15	0.01	0.35543796	0.18056303
10	0.15	0.01	0.3430218	0.18756221
10	0.15	0.01	0.40020123	0.2677588
10	0.15	0.01	0.32744652	0.17602688
11	0.15	0.01	0.36648002	0.20497663
11	0.15	0.01	0.40957725	0.27473602
11	0.15	0.01	0.34110543	0.19955438
12	0.15	0.01	0.3485477	0.22111322
12	0.15	0.01	0.39695972	0.2755553
12	0.15	0.01	0.3436266	0.21637717
13	0.15	0.01	0.36253953	0.22078198
13	0.15	0.01	0.37610704	0.2548397
13	0.15	0.01	0.3501879	0.20271322
14	0.15	0.01	0.3644782	0.23798746
14	0.15	0.01	0.38259065	0.2970842
14	0.15	0.01	0.36423397	0.2828602
15	0.15	0.01	0.35865209	0.22286537
15	0.15	0.01	0.36112395	0.33318216
15	0.15	0.01	0.32809362	0.22326484
16	0.15	0.01	0.35235327	0.2522167
16	0.15	0.01	0.36534023	0.23394333
16	0.15	0.01	0.34453297	0.18957204
17	0.15	0.01	0.3529932	0.2044812
17	0.15	0.01	0.3647612	0.27489364
17	0.15	0.01	0.36232334	0.20126812
18	0.15	0.01	0.36665782	0.24333152
18	0.15	0.01	0.37456906	0.25313163
18	0.15	0.01	0.35225204	0.21143492
19	0.15	0.01	0.34394753	0.23484904
19	0.15	0.01	0.4034458	0.23810236
19	0.15	0.01	0.3605697	0.19062378
20	0.15	0.01	0.36111304	0.21808615
