scene_id	sigma	r	ade	fde	abd	fbd
0	0.05	0.01	0.3244922835229483	0.5882616660908826	1.8895738708060659	1.584549190153381
0	0.05	0.01	0.672155261138294	1.9470590900660902	1.6581340692842923	1.7571846749039632
0	0.05	0.01	0.2355445402203129	0.3243164787771966	1.4965840468414617	1.4661693619115592
1	0.05	0.01	0.331674431832993	0.6823856616811117	1.7487553063195882	1.4289700954116273
1	0.05	0.01	0.8378448285522103	2.089721935502099	1.8529288205176575	1.8001646916769265
1	0.05	0.01	0.5471488915033776	1.246429004039939	1.7030610101407173	1.5815925502818262
2	0.05	0.01	0.3389546722266194	0.7040412940022628	1.7983377265112017	1.481423573484807
2	0.05	0.01	0.8578485306798433	1.851620725810689	1.793169760047007	1.6978035464491872
2	0.05	0.01	0.7761581696797385	1.4907916302629245	1.6992317981285547	1.4719778393946619
3	0.05	0.01	0.46656282991094006	0.958231659564072	1.7792529511055892	1.4762386485814025
3	0.05	0.01	0.8438068830104303	1.6815864347595286	1.6748190087744705	1.5467507967889325
3	0.05	0.01	0.3990357117135351	0.6923398063946684	1.8547049094927743	1.5210381310384236
4	0.05	0.01	0.42265980512467854	1.020565616955653	1.9974860967754868	1.905496248171303
4	0.05	0.01	1.0009730634505425	1.4080146103721818	1.5284874268843203	1.305493595940041
4	0.05	0.01	0.1595355608736211	0.2191903441981171	1.9742748260127232	1.6075034201687732
5	0.05	0.01	0.4698738448541893	1.0213982597475195	2.020692032351001	1.9249564100587802
5	0.05	0.01	0.4397397561004519	0.36742030831375266	1.704588855252367	1.4303615375779644
5	0.05	0.01	0.4438783300370733	1.0191904557344995	2.237269093581259	1.81288348719856
6	0.05	0.01	0.19083542735809733	0.2780517498815632	1.589251680875754	1.6536689802365074
6	0.05	0.01	1.2265514289896735	2.4092273718149935	1.6081627533214524	1.422903162452411
6	0.05	0.01	0.4625532958153657	1.0696663726488351	2.1994680583189004	1.806789888444983
7	0.05	0.01	0.3057343716848066	0.7049672944099338	1.5379064121588317	1.5082099724490765
7	0.05	0.01	1.0046863475739565	1.475765085725273	1.8786525519701405	1.648321600463355
7	0.05	0.01	0.670091998525875	1.447623248739748	1.6769372575278914	1.607067853644936
8	0.05	0.01	0.47494637450546895	1.037427289172126	1.490000957668655	1.3785410479401046
8	0.05	0.01	1.4015101813257225	2.624699356521253	1.9797329169801128	1.712863745715577
8	0.05	0.01	0.7480156237636063	1.4833533719732936	1.7030729968172784	1.558740178145395
9	0.05	0.01	0.4885078504608768	0.9653742978455137	1.7173392795324576	1.513092135042075
9	0.05	0.01	0.48955654069227444	1.3730350934771949	1.8326913624918433	1.7055274785931693
9	0.05	0.01	0.5417737235186019	0.9681928002032303	1.8063595815964506	1.5167593923626452
10	0.05	0.01	0.4540098542676105	0.9961707151207991	2.357623050417007	2.2955475252189017
10	0.05	0.01	0.7888798718798169	1.856538867795106	1.7744733803496706	1.5452058997540357
10	0.05	0.01	0.3885110361393442	0.8960720140105242	1.9381850922210893	1.5862976379243854
11	0.05	0.01	0.7190105179193088	1.7055168811368098	1.6746847213946527	1.4316838881187213
11	0.05	0.01	0.1912608479909708	0.5008224935621964	1.5270590474015104	1.3426693540056092
11	0.05	0.01	0.4004486487646082	1.068279943210095	2.108647430905413	1.706199914550102
12	0.05	0.01	1.0507056968079216	2.2712818372732904	2.6833538054881703	2.5459353025539246
12	0.05	0.01	1.1106130317931524	1.8302864691283154	1.809437460036886	1.5123964749184562
12	0.05	0.01	0.34893104646613143	1.0026586747528718	2.1505748806106038	1.7402487400124729
13	0.05	0.01	0.8680971320376173	1.9899207484071864	2.8481173740663244	2.628443360061315
13	0.05	0.01	1.6380085451953443	3.3492600912130923	1.8010824672867352	1.491900369976015
13	0.05	0.01	0.27042795545485493	0.6720720249028469	2.4459211718356064	2.1319706985745146
14	0.05	0.01	0.3957963949412295	1.1674663906418048	1.8703229091545037	1.598932938525045
14	0.05	0.01	0.714495821119194	1.6527003219902352	2.252073576063913	1.9911838129755557
14	0.05	0.01	0.4759562243420256	1.0753206584257566	2.5872331234265906	2.15323253084617
15	0.05	0.01	0.6349694078737008	1.703868400031157	1.8892257867464255	1.7597812496052225
15	0.05	0.01	0.7621114810499648	1.718891577882542	1.7502266324113227	1.5310842978261374
15	0.05	0.01	0.47805912584698235	1.0644856887612097	2.9692930083081817	2.5124109464387483
16	0.05	0.01	0.6750377241529925	1.7665835047346157	2.167449440668752	1.9472583164748911
16	0.05	0.01	0.3965506728268063	0.865318169053056	1.6427076761983699	1.5030969308525959
16	0.05	0.01	0.3514309909667115	0.5690091452975286	1.7429206854156056	1.6907983820297745
17	0.05	0.01	1.3915666832515923	2.819811356985958	2.427191338772799	2.1804494287879668
17	0.05	0.01	0.8165389279444565	1.8545699144236127	1.7677996880137126	1.5535185642771665
17	0.05	0.01	0.31780503834490076	0.8146007656627298	1.637128335050062	1.6135001784872156
18	0.05	0.01	0.5467066456045165	1.229982147028367	2.8878404662658697	2.6753839270548085
18	0.05	0.01	0.48430741660175486	1.1982372444835696	1.5868363747446803	1.4457496159714882
18	0.05	0.01	0.5214262335783107	1.7160080912509232	1.6468406142371081	1.5686768057291085
19	0.05	0.01	0.6151013960210764	1.2519889336789796	3.017474075323016	2.761517616567054
19	0.05	0.01	0.14211049963819564	0.5039499646834262	1.7401473606287514	1.5182278658989667
19	0.05	0.01	1.091560839830535	2.8172723799976347	1.5972334395263617	1.562285666412476
20	0.05	0.01	0.48723609382538885	0.9764432120698635	2.7662230397809053	2.5551634778467394
20	0.05	0.01	0.6285268339917477	1.3177231752912506	1.5483580757538875	1.3665606784520066
20	0.05	0.01	1.7836619539249217	3.6712528308272914	1.7248548433621367	1.6592673663142234
21	0.05	0.01	0.8773598570227185	2.0235513876019495	2.6577958877850305	2.3826064094322277
21	0.05	0.01	0.6239377909858782	1.2402180616126108	1.797361012753324	1.5014789733518428
21	0.05	0.01	1.9382230679994097	4.020629845576423	1.7142436414024114	1.6316778015781268
22	0.05	0.01	0.9005495489235825	2.014028251980773	2.8120977523857085	2.503691525484088
22	0.05	0.01	1.703757093323346	3.0290900274800987	1.891963348745694	1.589269713714976
22	0.05	0.01	2.51495428173516	5.718373568058371	1.7290725659498596	1.7161724879265927
23	0.05	0.01	1.0985777371048986	2.7103156867306164	3.0534063833606617	2.6382176534909423
23	0.05	0.01	0.8230895481769146	1.5904232026687344	2.1461583090003944	1.86492227492621
23	0.05	0.01	0.2875084894490732	0.5621382224094544	1.4274905538543485	1.3784105694861855
24	0.05	0.01	0.3439728386430197	1.330347194259177	2.8267622239781454	2.6739331031663895
24	0.05	0.01	0.7859299236784848	1.6427626044396846	2.142937720439242	1.875326922595478
24	0.05	0.01	0.2782858226032051	0.530160356981796	1.5407254411922477	1.4506751046580635
25	0.05	0.01	0.8969477190396402	2.3956432179213123	2.7414004245613843	2.5964479876458086
25	0.05	0.01	0.5788388765305935	1.0243181666356298	2.1488489695291975	1.76309902394692
25	0.05	0.01	0.2273199872313986	0.4378822874834401	1.5791535347361665	1.458093355761598
26	0.05	0.01	1.9047149385631734	4.448976965754768	2.5790194822332797	2.252675243143842
26	0.05	0.01	0.5671673272999141	0.9345925148478461	2.2991974984029846	1.8862046372306107
26	0.05	0.01	0.5666529959391488	1.3258207804401794	1.550600668550478	1.4743631237117385
27	0.05	0.01	1.7836297706620525	3.9998530967100523	2.6713704066236583	2.3438688635828404
27	0.05	0.01	1.1535946335606682	1.9871757268855894	1.9759131032329655	1.6664661208039868
27	0.05	0.01	0.614250493543262	1.247157541275453	1.6805713047699726	1.6540977839750521
28	0.05	0.01	1.9145645012760786	4.179005297403175	2.050833463325229	1.8695091142473759
28	0.05	0.01	0.11790374780359018	0.38436487467039265	1.8944404708200075	1.5576515655208394
28	0.05	0.01	0.4589428180756083	0.8741624301955458	1.6874416934833445	1.623187574570661
29	0.05	0.01	1.7511478288895663	3.484946527800733	1.9319399824302792	1.7308342534323786
29	0.05	0.01	0.5488889743030213	0.9818253729831712	1.827548038925882	1.8391095835755416
29	0.05	0.01	0.15592250335469626	0.3117819000044465	1.9223038143942708	1.8106361278580394
30	0.05	0.01	1.4337317433273935	2.469916850281496	2.095854862479478	1.8495228839050224
30	0.05	0.01	1.1009524936923585	2.045977226011878	1.6377494794074856	1.443499227349932
30	0.05	0.01	0.1654012015484138	0.38734709116105503	1.4972003923868267	1.4421653663751717
31	0.05	0.01	0.3725776799008629	0.2784057605739171	1.9650367181235235	1.8593951074004782
31	0.05	0.01	0.4789057424096271	0.8103623740119481	1.7312302764648801	1.5513995989882696
31	0.05	0.01	0.09232104492569944	0.25559831880835754	1.6584765132427914	1.5584859000994697
32	0.05	0.01	0.5607129858282812	1.7999447393122194	2.073939876036341	1.8112293891970255
32	0.05	0.01	0.4809521098704008	0.7835166934603199	2.0546753109685056	1.8113545271580378
32	0.05	0.01	0.1290673623520903	0.2775835403647362	1.6201542552779309	1.4960183894646055
33	0.05	0.01	0.3934713820995157	0.7734394169587526	2.833551786101072	2.6520742091775134
33	0.05	0.01	0.3309532330693464	0.584686187104391	1.85503749772886	1.7317769318707643
33	0.05	0.01	0.4410367511531054	1.19579472246687	1.5688757630177719	1.4781090917280184
34	0.05	0.01	0.42025555364294376	1.0134454118357843	2.516381842739717	2.273426088924419
34	0.05	0.01	0.08220048385353268	0.09900641836700849	1.9011162802494652	1.7819764643945217
34	0.05	0.01	0.5503668050305578	1.2660755099159982	1.7300703026619761	1.696492273271631
